0	8
1	7
2	7
3	7
4	0
5	0
6	0
7	9
8	0
9	8
10	0
11	8
12	0
13	0
14	0
15	0
16	9
17	9
18	9
19	10
20	6
21	6
22	7
23	6
24	7
25	8
26	8
27	8
28	8
29	0
30	0
31	11
32	9
33	8
34	6
35	6
36	8
37	8
38	5
39	8
40	5
41	8
42	5
43	8
44	5
45	8
46	5
47	0
48	8
49	9
50	6
51	10
52	8
53	9
54	8
55	9
56	8
57	10
58	10
59	9
60	7
61	0
62	7
63	0
64	0
65	0
66	0
67	7
68	7
69	0
70	0
71	8
72	9
73	8
74	6
75	7
76	6
77	6
78	7
79	9
80	8
81	7
82	9
83	3
84	0
85	9
86	7
87	7
88	1
89	4
90	24
91	8
92	7
93	7
94	7
95	0
96	7
97	6
98	1
99	7
100	0
101	0
102	7
103	0
104	0
105	7
106	0
107	3
108	1
109	9
110	8
111	9
112	7
113	7
114	6
115	1
116	7
117	7
118	1
119	9
120	7
121	9
122	9
123	10
124	10
125	1
126	3
127	3
128	5
129	0
130	0
131	0
132	0
133	0
134	5
135	7
136	7
137	7
138	7
139	7
140	7
141	7
142	7
143	7
144	7
145	7
146	7
147	7
148	7
149	7
150	7
151	5
152	1
153	1
154	7
155	7
156	7
157	7
158	7
159	6
160	7
161	0
162	0
163	0
164	0
165	0
166	0
167	0
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	9
180	9
181	3
182	0
183	0
184	0
185	0
186	0
187	0
188	3
189	0
190	0
191	0
192	0
193	0
194	4
195	7
196	7
197	7
198	7
199	7
200	0
201	7
202	0
203	0
204	16
205	0
206	0
207	0
208	0
209	0
210	0
211	0
212	0
213	0
214	6
215	6
216	6
217	6
218	6
219	6
220	6
221	6
222	6
223	6
224	6
225	6
226	6
227	6
228	6
229	6
230	6
231	6
232	6
233	6
234	6
235	6
236	6
237	6
238	5
239	6
240	6
241	6
242	6
243	6
244	6
245	6
246	6
247	6
248	6
249	6
250	6
251	0
252	6
253	6
254	8
255	0
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	0
264	0
265	0
266	0
267	0
268	22
269	22
270	22
271	22
272	22
273	22
274	22
275	22
276	22
277	22
278	22
279	22
280	22
281	22
282	22
283	22
284	22
285	22
286	22
287	22
288	22
289	22
290	22
291	22
292	22
293	22
294	22
295	22
296	22
297	22
298	22
299	22
300	22
301	22
302	22
303	22
304	0
305	8
306	8
307	8
308	8
309	0
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	6
325	0
326	0
327	0
328	0
329	9
330	9
331	9
332	9
333	8
334	8
335	8
336	8
337	8
338	7
339	7
340	7
341	8
342	8
343	8
344	8
345	8
346	8
347	8
348	8
349	8
350	0
351	0
352	0
353	0
354	0
355	0
356	2
357	9
358	8
